Entidad federativa,Año,Total,Mujeres,Hombres,%_mujeres,%_hombres
Total,2005,1900256,645683,1254573,33.98,66.02
Aguascalientes,2005,27087,11162,15925,41.21,58.79
Baja California,2005,45528,15743,29785,34.58,65.42
Baja California Sur,2005,19533,6927,12606,35.46,64.54
Campeche,2005,22367,7020,15347,31.39,68.61
Coahuila de Zaragoza,2005,35737,15207,20530,42.55,57.45
Colima,2005,18307,5996,12311,32.75,67.25
Chiapas,2005,65377,20230,45147,30.94,69.06
Chihuahua,2005,54483,17715,36768,32.51,67.49
Ciudad de México,2005,278117,113046,165071,40.65,59.35
Durango,2005,27305,9730,17575,35.63,64.37
Guanajuato,2005,54027,16133,37894,29.86,70.14
Guerrero,2005,57474,20468,37006,35.61,64.39
Hidalgo,2005,37249,13379,23870,35.92,64.08
Jalisco,2005,104166,36673,67493,35.21,64.79
México,2005,250650,55525,195125,22.15,77.85
Michoacán de Ocampo,2005,75855,27197,48658,35.85,64.15
Morelos,2005,27846,11188,16658,40.18,59.82
Nayarit,2005,28685,11660,17025,40.65,59.35
Nuevo León,2005,60343,23404,36939,38.78,61.22
Oaxaca,2005,58055,18671,39384,32.16,67.84
Puebla,2005,62619,19904,42715,31.79,68.21
Querétaro,2005,28127,12666,15461,45.03,54.97
Quintana Roo,2005,38690,12841,25849,33.19,66.81
San Luís Potosí,2005,37214,13495,23719,36.26,63.74
Sinaloa,2005,46234,16450,29784,35.58,64.42
Sonora,2005,51411,14512,36899,28.23,71.77
Tabasco,2005,56573,18866,37707,33.35,66.65
Tamaulipas,2005,50726,18306,32420,36.09,63.91
Tlaxcala,2005,14189,4356,9833,30.7,69.3
Veracruz de Ignacio de la Llave,2005,94370,33049,61321,35.02,64.98
Yucatán,2005,38952,12337,26615,31.67,68.33
Zacatecas,2005,32960,11827,21133,35.88,64.12
Total,2006,2062270,718769,1343501,34.85,65.15
Aguascalientes,2006,28532,11688,16844,40.96,59.04
Baja California,2006,47491,18973,28518,39.95,60.05
Baja California Sur,2006,18809,5938,12871,31.57,68.43
Campeche,2006,24473,7713,16760,31.52,68.48
Coahuila de Zaragoza,2006,40016,11994,28022,29.97,70.03
Colima,2006,20084,8245,11839,41.05,58.95
Chiapas,2006,79896,28083,51813,35.15,64.85
Chihuahua,2006,53529,19670,33859,36.75,63.25
Ciudad de México,2006,289140,117991,171149,40.81,59.19
Durango,2006,33814,12336,21478,36.48,63.52
Guanajuato,2006,61683,19192,42491,31.11,68.89
Guerrero,2006,57526,18753,38773,32.6,67.4
Hidalgo,2006,33784,13119,20665,38.83,61.17
Jalisco,2006,108070,32358,75712,29.94,70.06
México,2006,291298,89237,202061,30.63,69.37
Michoacán de Ocampo,2006,70303,19789,50514,28.15,71.85
Morelos,2006,31086,11869,19217,38.18,61.82
Nayarit,2006,30483,12164,18319,39.9,60.1
Nuevo León,2006,70477,29185,41292,41.41,58.59
Oaxaca,2006,76281,27467,48814,36.01,63.99
Puebla,2006,58356,19356,39000,33.17,66.83
Querétaro,2006,31924,11123,20801,34.84,65.16
Quintana Roo,2006,41039,12895,28144,31.42,68.58
San Luís Potosí,2006,43138,17294,25844,40.09,59.91
Sinaloa,2006,54662,18234,36428,33.36,66.64
Sonora,2006,51359,17380,33979,33.84,66.16
Tabasco,2006,54232,16660,37572,30.72,69.28
Tamaulipas,2006,53261,19034,34227,35.74,64.26
Tlaxcala,2006,19318,6876,12442,35.59,64.41
Veracruz de Ignacio de la Llave,2006,111483,38224,73259,34.29,65.71
Yucatán,2006,41006,12862,28144,31.37,68.63
Zacatecas,2006,35717,13067,22650,36.58,63.42
Total,2007,2063884,728448,1335436,35.3,64.7
Aguascalientes,2007,30057,12152,17905,40.43,59.57
Baja California,2007,55621,20924,34697,37.62,62.38
Baja California Sur,2007,21907,6703,15204,30.6,69.4
Campeche,2007,24500,8012,16488,32.7,67.3
Coahuila de Zaragoza,2007,33155,15218,17937,45.9,54.1
Colima,2007,21247,6467,14780,30.44,69.56
Chiapas,2007,67573,21056,46517,31.16,68.84
Chihuahua,2007,51407,18276,33131,35.55,64.45
Ciudad de México,2007,316405,112765,203640,35.64,64.36
Durango,2007,37325,12915,24410,34.6,65.4
Guanajuato,2007,65287,22145,43142,33.92,66.08
Guerrero,2007,61025,22121,38904,36.25,63.75
Hidalgo,2007,41643,15412,26231,37.01,62.99
Jalisco,2007,106893,39301,67592,36.77,63.23
México,2007,274819,94732,180087,34.47,65.53
Michoacán de Ocampo,2007,75094,34673,40421,46.17,53.83
Morelos,2007,34353,14180,20173,41.28,58.72
Nayarit,2007,27050,10948,16102,40.47,59.53
Nuevo León,2007,65077,22192,42885,34.1,65.9
Oaxaca,2007,71395,24974,46421,34.98,65.02
Puebla,2007,56581,16720,39861,29.55,70.45
Querétaro,2007,30545,11800,18745,38.63,61.37
Quintana Roo,2007,41598,13112,28486,31.52,68.48
San Luís Potosí,2007,39099,14788,24311,37.82,62.18
Sinaloa,2007,48524,15767,32757,32.49,67.51
Sonora,2007,46582,14958,31624,32.11,67.89
Tabasco,2007,57455,17318,40137,30.14,69.86
Tamaulipas,2007,65394,24708,40686,37.78,62.22
Tlaxcala,2007,20636,7528,13108,36.48,63.52
Veracruz de Ignacio de la Llave,2007,102698,32513,70185,31.66,68.34
Yucatán,2007,38309,11507,26802,30.04,69.96
Zacatecas,2007,34630,12563,22067,36.28,63.72
Total,2008,2191299,793874,1397425,36.23,63.77
Aguascalientes,2008,29653,12220,17433,41.21,58.79
Baja California,2008,49885,14918,34967,29.9,70.1
Baja California Sur,2008,22794,7600,15194,33.34,66.66
Campeche,2008,29551,8368,21183,28.32,71.68
Coahuila de Zaragoza,2008,52192,22037,30155,42.22,57.78
Colima,2008,23838,9239,14599,38.76,61.24
Chiapas,2008,85927,31725,54202,36.92,63.08
Chihuahua,2008,50490,15694,34796,31.08,68.92
Ciudad de México,2008,306553,124930,181623,40.75,59.25
Durango,2008,40194,15157,25037,37.71,62.29
Guanajuato,2008,65443,19047,46396,29.1,70.9
Guerrero,2008,67399,22090,45309,32.77,67.23
Hidalgo,2008,41851,16422,25429,39.24,60.76
Jalisco,2008,116328,41837,74491,35.96,64.04
México,2008,319192,113772,205420,35.64,64.36
Michoacán de Ocampo,2008,57763,19463,38300,33.69,66.31
Morelos,2008,33515,14127,19388,42.15,57.85
Nayarit,2008,30079,10826,19253,35.99,64.01
Nuevo León,2008,66242,28158,38084,42.51,57.49
Oaxaca,2008,73850,26231,47619,35.52,64.48
Puebla,2008,66343,26766,39577,40.34,59.66
Querétaro,2008,31069,11719,19350,37.72,62.28
Quintana Roo,2008,50730,17615,33115,34.72,65.28
San Luís Potosí,2008,38211,14588,23623,38.18,61.82
Sinaloa,2008,58676,18737,39939,31.93,68.07
Sonora,2008,45634,18274,27360,40.04,59.96
Tabasco,2008,62181,21365,40816,34.36,65.64
Tamaulipas,2008,63787,22617,41170,35.46,64.54
Tlaxcala,2008,22914,7726,15188,33.72,66.28
Veracruz de Ignacio de la Llave,2008,112356,36667,75689,32.63,67.37
Yucatán,2008,46208,14103,32105,30.52,69.48
Zacatecas,2008,30451,9836,20615,32.3,67.7
Total,2009,2290426,806343,1484083,35.2,64.8
Aguascalientes,2009,35248,14672,20576,41.63,58.37
Baja California,2009,52356,18851,33505,36.01,63.99
Baja California Sur,2009,22770,9106,13664,39.99,60.01
Campeche,2009,28155,9466,18689,33.62,66.38
Coahuila de Zaragoza,2009,61428,29986,31442,48.81,51.19
Colima,2009,24992,9176,15816,36.72,63.28
Chiapas,2009,90619,28493,62126,31.44,68.56
Chihuahua,2009,55103,20091,35012,36.46,63.54
Ciudad de México,2009,323366,135899,187467,42.03,57.97
Durango,2009,35524,11064,24460,31.15,68.85
Guanajuato,2009,73293,25731,47562,35.11,64.89
Guerrero,2009,74059,24863,49196,33.57,66.43
Hidalgo,2009,41115,16383,24732,39.85,60.15
Jalisco,2009,124117,33635,90482,27.1,72.9
México,2009,287094,76602,210492,26.68,73.32
Michoacán de Ocampo,2009,72754,25624,47130,35.22,64.78
Morelos,2009,35964,16206,19758,45.06,54.94
Nayarit,2009,34338,14133,20205,41.16,58.84
Nuevo León,2009,71875,27538,44337,38.31,61.69
Oaxaca,2009,78410,27593,50817,35.19,64.81
Puebla,2009,57392,19096,38296,33.27,66.73
Querétaro,2009,33377,12659,20718,37.93,62.07
Quintana Roo,2009,52462,19068,33394,36.35,63.65
San Luís Potosí,2009,49239,18966,30273,38.52,61.48
Sinaloa,2009,58604,22801,35803,38.91,61.09
Sonora,2009,51880,17891,33989,34.49,65.51
Tabasco,2009,59577,22681,36896,38.07,61.93
Tamaulipas,2009,81376,27983,53393,34.39,65.61
Tlaxcala,2009,21922,8886,13036,40.53,59.47
Veracruz de Ignacio de la Llave,2009,119859,34428,85431,28.72,71.28
Yucatán,2009,47302,14197,33105,30.01,69.99
Zacatecas,2009,34856,12575,22281,36.08,63.92
Total,2010,2288150,836300,1451850,36.55,63.45
Aguascalientes,2010,31196,13176,18020,42.24,57.76
Baja California,2010,49096,19855,29241,40.44,59.56
Baja California Sur,2010,23283,9057,14226,38.9,61.1
Campeche,2010,31201,9997,21204,32.04,67.96
Coahuila de Zaragoza,2010,55736,21667,34069,38.87,61.13
Colima,2010,25160,9483,15677,37.69,62.31
Chiapas,2010,82041,27525,54516,33.55,66.45
Chihuahua,2010,62316,25928,36388,41.61,58.39
Ciudad de México,2010,341600,154101,187499,45.11,54.89
Durango,2010,34661,11837,22824,34.15,65.85
Guanajuato,2010,72443,28290,44153,39.05,60.95
Guerrero,2010,69521,21689,47832,31.2,68.8
Hidalgo,2010,49192,10604,38588,21.56,78.44
Jalisco,2010,124137,44286,79851,35.68,64.32
México,2010,332506,98347,234159,29.58,70.42
Michoacán de Ocampo,2010,57466,22802,34664,39.68,60.32
Morelos,2010,36476,14659,21817,40.19,59.81
Nayarit,2010,33934,12727,21207,37.51,62.49
Nuevo León,2010,76684,31804,44880,41.47,58.53
Oaxaca,2010,75732,28220,47512,37.26,62.74
Puebla,2010,65173,25244,39929,38.73,61.27
Querétaro,2010,31081,10081,21000,32.43,67.57
Quintana Roo,2010,48597,17561,31036,36.14,63.86
San Luís Potosí,2010,47380,15906,31474,33.57,66.43
Sinaloa,2010,54062,20797,33265,38.47,61.53
Sonora,2010,49065,19879,29186,40.52,59.48
Tabasco,2010,58339,18987,39352,32.55,67.45
Tamaulipas,2010,54349,17299,37050,31.83,68.17
Tlaxcala,2010,22555,8150,14405,36.13,63.87
Veracruz de Ignacio de la Llave,2010,112850,38543,74307,34.15,65.85
Yucatán,2010,45816,15176,30640,33.12,66.88
Zacatecas,2010,34502,12623,21879,36.59,63.41
Total,2011,2306148,824953,1481195,35.77,64.23
Aguascalientes,2011,28405,12073,16332,42.5,57.5
Baja California,2011,49957,19571,30386,39.18,60.82
Baja California Sur,2011,21846,6770,15076,30.99,69.01
Campeche,2011,30465,11263,19202,36.97,63.03
Coahuila de Zaragoza,2011,49658,21285,28373,42.86,57.14
Colima,2011,22382,8090,14292,36.15,63.85
Chiapas,2011,86048,27567,58481,32.04,67.96
Chihuahua,2011,49726,14278,35448,28.71,71.29
Ciudad de México,2011,301485,119898,181587,39.77,60.23
Durango,2011,41381,12652,28729,30.57,69.43
Guanajuato,2011,71045,30559,40486,43.01,56.99
Guerrero,2011,60106,21143,38963,35.18,64.82
Hidalgo,2011,48787,16775,32012,34.38,65.62
Jalisco,2011,124629,47874,76755,38.41,61.59
México,2011,340784,87541,253243,25.69,74.31
Michoacán de Ocampo,2011,71180,27767,43413,39.01,60.99
Morelos,2011,37229,15793,21436,42.42,57.58
Nayarit,2011,36857,14512,22345,39.37,60.63
Nuevo León,2011,79802,37631,42171,47.16,52.84
Oaxaca,2011,74620,27923,46697,37.42,62.58
Puebla,2011,60990,22480,38510,36.86,63.14
Querétaro,2011,36956,14463,22493,39.14,60.86
Quintana Roo,2011,59123,22351,36772,37.8,62.2
San Luís Potosí,2011,47127,18686,28441,39.65,60.35
Sinaloa,2011,57538,22181,35357,38.55,61.45
Sonora,2011,60830,25347,35483,41.67,58.33
Tabasco,2011,57373,17803,39570,31.03,68.97
Tamaulipas,2011,69094,21122,47972,30.57,69.43
Tlaxcala,2011,20116,8016,12100,39.85,60.15
Veracruz de Ignacio de la Llave,2011,131289,44613,86676,33.98,66.02
Yucatán,2011,44862,13988,30874,31.18,68.82
Zacatecas,2011,34458,12938,21520,37.55,62.45
Total,2012,2401912,878970,1522942,36.59,63.41
Aguascalientes,2012,29029,11170,17859,38.48,61.52
Baja California,2012,51608,21593,30015,41.84,58.16
Baja California Sur,2012,31281,12739,18542,40.72,59.28
Campeche,2012,32458,12369,20089,38.11,61.89
Coahuila de Zaragoza,2012,49081,22143,26938,45.12,54.88
Colima,2012,25144,9625,15519,38.28,61.72
Chiapas,2012,83521,29764,53757,35.64,64.36
Chihuahua,2012,56817,20595,36222,36.25,63.75
Ciudad de México,2012,339716,137529,202187,40.48,59.52
Durango,2012,38606,14486,24120,37.52,62.48
Guanajuato,2012,60757,21049,39708,34.64,65.36
Guerrero,2012,67020,23329,43691,34.81,65.19
Hidalgo,2012,40455,16712,23743,41.31,58.69
Jalisco,2012,123989,38040,85949,30.68,69.32
México,2012,372294,102695,269599,27.58,72.42
Michoacán de Ocampo,2012,86864,29254,57610,33.68,66.32
Morelos,2012,41014,17370,23644,42.35,57.65
Nayarit,2012,37177,15544,21633,41.81,58.19
Nuevo León,2012,71637,36158,35479,50.47,49.53
Oaxaca,2012,79994,27340,52654,34.18,65.82
Puebla,2012,64238,23951,40287,37.28,62.72
Querétaro,2012,33813,13695,20118,40.5,59.5
Quintana Roo,2012,57012,22486,34526,39.44,60.56
San Luís Potosí,2012,53144,22652,30492,42.62,57.38
Sinaloa,2012,59792,23062,36730,38.57,61.43
Sonora,2012,56580,20255,36325,35.8,64.2
Tabasco,2012,52440,16842,35598,32.12,67.88
Tamaulipas,2012,65910,22156,43754,33.62,66.38
Tlaxcala,2012,23902,9246,14656,38.68,61.32
Veracruz de Ignacio de la Llave,2012,124700,52122,72578,41.8,58.2
Yucatán,2012,47231,15677,31554,33.19,66.81
